region	state	mean_pbs	mean_bri	delta	mwu_p
Ventricular area	MYE:Microglia	0.075831205	0.068887204	-0.0069440007	0.04761905
Caudoputamen	MYE:Microglia	0.11544993	0.10722897	-0.008220956	0.0952381
Meninges	MYE:Microglia	0.10550345	0.09663267	-0.0088707805	0.16666667
Olfactory areas	MYE:Microglia	0.11019608	0.10345587	-0.006740205	0.26190478
Supragranualar layers	MYE:Microglia	0.10306444	0.09847494	-0.004589498	0.26190478
Infragranular layers	MYE:Microglia	0.10887867	0.105899476	-0.0029791966	0.3809524
Corpus callosum	MYE:Microglia	0.10247167	0.09855511	-0.0039165616	0.54761904
Hypothalamus	MYE:Microglia	0.09893808	0.09550008	-0.003437996	0.54761904
Hippocampal formation	MYE:Microglia	0.10638454	0.097872	-0.008512542	0.5714286
