sample_id,treatment,sig_Homeostatic,sig_DAM,sig_Neuroinflammation,sig_Complement,sig_ReactiveAstro,sig_DAMratio,mg_z,prop_MYE:Microglia
P24215_101,WT,0.10021276137797952,0.2529472810427348,-0.03633448530303107,-0.10317096001256712,-0.251501572607434,0.15273451966475526,2.455197935565976,0.15491593177777777
P24215_201,BRICHOS,0.5038123555387645,0.7516930609810962,-0.015404438022279393,0.37058477528691086,-0.07752297105530628,0.24788070544233162,2.3621691887094363,0.15289130065693432
P24215_301,BRICHOS,0.5715100600300516,0.8270603085402399,0.01108795226427416,0.4788634432532958,-0.011248056431167889,0.25555024851018837,2.2776763037582572,0.151052439765625
P28052_102,PBS,0.45818090815130996,0.8057671280407612,-0.00681280909055545,0.42359050493251565,0.006374148399951803,0.3475862198894511,2.3354379057133636,0.15230953438271605
P28052_103,PBS,0.48057612600783833,0.8555569127414907,0.006291220850178173,0.48888627435885323,0.031207165217825347,0.3749807867336525,2.3762545415676573,0.15319784723214286
P28052_201,PBS,0.4415645855900735,0.7245471214142043,-0.0018571106297863313,0.36446873286452786,-0.06300669190230532,0.28298253582413074,2.2575721108144093,0.15061490216494847
P28052_202,PBS,0.403385356374945,0.6886381318931756,-0.01807036451773343,0.31946571201798896,-0.07807315209509905,0.28525277551823053,2.2347088611697687,0.1501173178341014
P28052_203,PBS,0.376013972619378,0.6743327575045474,-0.016672899616115233,0.32144682966193566,-0.07521822868087212,0.29831878488516933,2.2102783012185316,0.14958562334558825
P28052_301,PBS,0.5111124506888718,0.7950836988026837,-0.000793814211006624,0.47009744098524353,-0.023994349737996284,0.2839712481138119,2.3423300473335225,0.1524595315060241
P28052_401,BRICHOS,0.4873354331443196,0.781661883666052,0.0008266475151688763,0.38472783615992157,-0.08571464120429677,0.2943264505217325,2.3900640176435615,0.15349838976303318
