metric,mm_beta,mm_se,mm_p,mm_n,PBS_mean,BRICHOS_mean,delta,MWU_p,n_PBS,n_BRICHOS,WT_mean,mm_err
sig_Homeostatic,0.07653958080202054,0.030824941738057655,0.013026625177389128,1599,0.44513889990540273,0.5208859495710453,0.07574704966564255,0.09523809523809523,6,3,0.10021276137797952,
sig_DAM,0.033319507258986705,0.040007057261920116,0.40493455356844954,1599,0.7573209583994771,0.786805084395796,0.02948412599631889,0.7142857142857142,6,3,0.2529472810427348,
sig_Neuroinflammation,0.00572563888117537,0.006587920154587304,0.38478600494125237,1599,-0.006319296202503149,-0.0011632794142787857,0.005156016788224364,0.38095238095238093,6,3,-0.03633448530303107,
sig_Complement,0.015626049215414325,0.043437016712497875,0.7190412865163709,1599,0.3979925824701775,0.41139201823337607,0.013399435763198575,0.7142857142857142,6,3,-0.10317096001256712,
sig_ReactiveAstro,-0.023644341849766926,0.027410083391941398,0.38834932555396595,1599,-0.03378518479974927,-0.05816188956359031,-0.024376704763841038,0.38095238095238093,6,3,-0.251501572607434,
sig_DAMratio,-0.04002907311718196,0.020974694736816252,0.056333591049370225,1599,0.3121820584940744,0.2659191348247509,-0.0462629236693235,0.16666666666666666,6,3,0.15273451966475526,
mg_z,0.07451636011544366,0.05122521722337925,0.1457575414614986,1599,2.2927636279695425,2.343303170037085,0.05053954206754252,0.26190476190476186,6,3,2.455197935565976,
prop_MYE:Microglia,,,,0,0.1513807927442535,0.15248071006186417,0.0010999173176106658,0.26190476190476186,6,3,0.15491593177777777,"Error evaluating factor: NameError: name 'prop_MYE' is not defined
    prop_MYE:Microglia ~ treatment
    ^^^^^^^^"
