re_annotation_regions,treatment,sig_DAMratio
Caudoputamen,BRICHOS,0.1964580245045762
Caudoputamen,PBS,0.22267273374288518
Caudoputamen,WT,0.17378443282714315
Corpus callosum,BRICHOS,0.31569326753517213
Corpus callosum,PBS,0.34471455671583295
Hippocampal formation,BRICHOS,0.19876167960897498
Hippocampal formation,PBS,0.2567536612644628
Hippocampal formation,WT,0.23285508612018624
Hypothalamus,BRICHOS,0.24187235030243523
Hypothalamus,PBS,0.24697872242293892
Hypothalamus,WT,-0.005450015554213335
Infragranular layers,BRICHOS,0.3786895685815422
Infragranular layers,PBS,0.39974926791101373
Infragranular layers,WT,-0.06852982101921873
Meninges,BRICHOS,0.2253644550226678
Meninges,PBS,0.33096103030409907
Meninges,WT,-0.5438585252733522
Olfactory areas,BRICHOS,0.14582136519642538
Olfactory areas,PBS,0.2924074016489684
Supragranualar layers,BRICHOS,0.45563775937162165
Supragranualar layers,PBS,0.42911304602914646
Supragranualar layers,WT,-0.08193184855963093
Thalamus,BRICHOS,0.2695459589349818
Thalamus,PBS,0.5442591346032959
