metric,PBS_mean,BRICHOS_mean,delta,MWU_p,WT_mean
sig_Homeostatic,0.19139694117177397,0.20587216419510376,0.014475223023329792,0.26190476190476186,0.09518945624088161
sig_DAM,0.5153732462796934,0.5040743787675991,-0.011298867512094302,0.38095238095238093,0.348228240873617
sig_DAMratio,0.32397630510791936,0.2982022145724953,-0.025774090535424066,0.023809523809523808,0.25303878463273544
