z,metric,adjusted,n_PBS,n_BRICHOS,beta,se,p,lo,hi,n
1.0,sig_Homeostatic,False,2427,884,0.09997363296121661,0.029498118260261576,0.0007010890652010879,0.04215838355940061,0.15778888236303262,3311
1.0,sig_Homeostatic,True,2427,884,0.08354163475966424,0.027496616322730493,0.0023795529970330326,0.02964925707039629,0.1374340124489322,3311
1.0,sig_DAM,False,2427,884,0.05587785520475661,0.030553305131584683,0.06741990906918696,-0.004005522461812183,0.1157612328713254,3311
1.0,sig_DAM,True,2427,884,0.034523978827173424,0.02760841083229511,0.21112143692456964,-0.01958751207451049,0.08863546972885733,3311
1.0,sig_DAMratio,False,2427,884,-0.042095731836590884,0.010311336133820575,4.455935337329671e-05,-0.062305579291365695,-0.021885884381816073,3311
1.0,sig_DAMratio,True,2427,884,-0.047237689156062065,0.010112291670716858,2.9927910063264687e-06,-0.06705741663183148,-0.027417961680292653,3311
1.5,sig_Homeostatic,False,1123,476,0.07653958080202054,0.030824941738057655,0.013026625177389128,0.016123805169882044,0.13695535643415904,1599
1.5,sig_Homeostatic,True,1123,476,0.06772631376034488,0.028214918420793173,0.01637839618358329,0.012426089828854521,0.12302653769183525,1599
1.5,sig_DAM,False,1123,476,0.033319507258986705,0.040007057261920116,0.40493455356844954,-0.04509288410180835,0.11173189861978176,1599
1.5,sig_DAM,True,1123,476,0.020475932427038226,0.03389487541113466,0.5457764104743277,-0.04595680263925796,0.08690866749333441,1599
1.5,sig_DAMratio,False,1123,476,-0.04002907311718196,0.020974694736816252,0.056333591049370225,-0.08113871938806363,0.001080573153699728,1599
1.5,sig_DAMratio,True,1123,476,-0.04374155778133207,0.01907498579688447,0.021840112539391245,-0.0811278429488387,-0.006355272613825444,1599
2.0,sig_Homeostatic,False,550,249,0.06844319092742338,0.036465590421619835,0.06052832642804271,-0.003028052973940265,0.13991443482878702,799
2.0,sig_Homeostatic,True,550,249,0.05844492662027616,0.03447002199084235,0.08997508784071638,-0.009115075028078498,0.1260049282686308,799
2.0,sig_DAM,False,550,249,0.00499731930909663,0.038744353561433784,0.8973719918777519,-0.07094021827559976,0.08093485689379301,799
2.0,sig_DAM,True,550,249,-0.010917060145076398,0.03295701288300273,0.740454518114944,-0.07551161843378432,0.053677498143631514,799
2.0,sig_DAMratio,False,550,249,-0.0647280539096573,0.03364163073925677,0.05434878483864,-0.13066443853979617,0.0012083307204815708,799
2.0,sig_DAMratio,True,550,249,-0.0697380985163996,0.03261875883577653,0.03251875343070121,-0.13366969105491927,-0.005806505977879947,799
