region,metric,PBS_mean,BRICHOS_mean,delta,n_PBS,n_BRICHOS,MWU_p
Caudoputamen,sig_Homeostatic,0.34345784475289526,0.412647023385943,0.06918917863304774,6,3,0.26190476190476186
Caudoputamen,sig_DAM,0.5688757012351232,0.6654867516682129,0.0966110504330897,6,3,0.26190476190476186
Caudoputamen,sig_DAMratio,0.22541785648222792,0.25283972828226997,0.027421871800042047,6,3,0.9047619047619047
Corpus callosum,sig_Homeostatic,0.5732753557413945,0.6384764924699454,0.06520113672855088,6,3,0.5476190476190476
Corpus callosum,sig_DAM,0.9425786858975062,0.9666958114742369,0.024117125576730736,6,3,1.0
Corpus callosum,sig_DAMratio,0.36930333015611166,0.3282193190042915,-0.04108401115182014,6,3,0.38095238095238093
Hippocampal formation,sig_Homeostatic,0.07796826633419386,0.14766690660580584,0.06969864027161198,2,1,0.6666666666666666
Hippocampal formation,sig_DAM,0.333958135583184,0.3464285862147808,0.012470450631596797,2,1,0.6666666666666666
Hippocampal formation,sig_DAMratio,0.25598986924899014,0.19876167960897498,-0.057228189640015165,2,1,0.6666666666666666
Hypothalamus,sig_Homeostatic,0.5111048852853931,0.6378529120349249,0.12674802674953178,6,3,0.16666666666666666
Hypothalamus,sig_DAM,0.7568292560081097,0.9126308421264615,0.15580158611835182,6,3,0.16666666666666666
Hypothalamus,sig_DAMratio,0.24572437072271655,0.27477793009153656,0.02905355936882001,6,3,0.9047619047619047
Infragranular layers,sig_Homeostatic,0.3832330121619936,0.41118800232296565,0.027954990160972026,6,3,0.38095238095238093
Infragranular layers,sig_DAM,0.8022251606767017,0.7962599725984735,-0.005965188078228212,6,3,0.7142857142857142
Infragranular layers,sig_DAMratio,0.4189921485147083,0.38507197027550794,-0.03392017823920035,6,3,1.0
Meninges,sig_Homeostatic,0.7738062769037026,0.8829811532295692,0.10917487632586653,6,3,0.16666666666666666
Meninges,sig_DAM,1.122586840380752,1.0731088426709174,-0.04947799770983452,6,3,0.9047619047619047
Meninges,sig_DAMratio,0.3487805634770493,0.1901276894413483,-0.15865287403570097,6,3,0.26190476190476186
Olfactory areas,sig_Homeostatic,0.4872068954979019,0.6352861579301191,0.1480792624322172,6,3,0.16666666666666666
Olfactory areas,sig_DAM,0.7528155233730973,0.7670135213332201,0.014197997960122777,6,3,0.9047619047619047
Olfactory areas,sig_DAMratio,0.26560862787519546,0.13172736340310096,-0.1338812644720945,6,3,0.16666666666666666
Supragranualar layers,sig_Homeostatic,0.5277419754633746,0.6169801660213676,0.08923819055799298,6,3,0.16666666666666666
Supragranualar layers,sig_DAM,0.9987470572456704,1.0808120832993435,0.08206502605367316,6,3,0.5476190476190476
Supragranualar layers,sig_DAMratio,0.4710050817822958,0.4638319172779759,-0.007173164504319873,6,3,0.9047619047619047
