metric,beta_unadj,p_unadj,beta_slideadj,se_slideadj,p_slideadj
Homeostatic,0.0765395808020232,0.013026625177386583,0.04482640303166738,0.043378433148999924,0.3014261261472113
DAM,0.03331950725897845,0.40493455356856856,0.028640127184519356,0.059240195815479756,0.6287708070112696
DAMratio,-0.040029073117177474,0.0563335910493194,-0.013224481120523515,0.02628242560715168,0.6148460114455219
