sample_id,treatment,sig_Homeostatic,sig_DAM,sig_DAMratio
P24215_101,WT,0.09518945624088161,0.348228240873617,0.25303878463273544
P24215_201,BRICHOS,0.20403799269179318,0.48885845282736123,0.28482046013556817
P24215_301,BRICHOS,0.2218716624905179,0.5225665022244381,0.3006948397339202
P28052_102,PBS,0.21862453750381738,0.5394745379609115,0.3208500004570941
P28052_103,PBS,0.2152815737888051,0.5281820658426838,0.31290049205387865
P28052_201,PBS,0.17846591249289795,0.5053127463249016,0.3268468338320037
P28052_202,PBS,0.17555549210623006,0.5006975133593002,0.3251420212530701
P28052_203,PBS,0.17612226328186711,0.5076140176872126,0.33149175440534534
P28052_301,PBS,0.18433186785702618,0.5109585965031506,0.32662672864612424
P28052_401,BRICHOS,0.19170683740300024,0.5007981812509977,0.3090913438479975
