region	signature	prior	median_signed	frac_concordant	n
Caudoputamen	PIG	up	0.05899539212818716	0.6923076923076923	52
Caudoputamen	DAM	up	0.08413683020234908	0.6666666666666666	18
Caudoputamen	ARM	up	0.08807491304237303	0.6923076923076923	13
Caudoputamen	IRM	up	0.2649264586105666	0.875	8
Caudoputamen	MGnD	up	0.08807491304237303	0.6153846153846154	13
Caudoputamen	microglia_homeo	down	-0.008641678033157518	0.4444444444444444	9
Caudoputamen	A1_astro	up	0.2728635264013244	1.0	13
Caudoputamen	A2_astro	down	-0.11798468939665696	0.2727272727272727	11
Caudoputamen	panreactive_astro	up	0.17919571563139947	0.6923076923076923	13
Caudoputamen	oligo_mature	down	-0.14315537390343902	0.125	16
Caudoputamen	oligo_OPC	down	0.07211853670376511	0.7142857142857143	7
Caudoputamen	oligo_stress	up	0.22096961347932398	1.0	7
Caudoputamen	tight_junction	down	-0.1387458183406579	0.25	12
Caudoputamen	endothelial	down	-0.0014102870151004865	0.45454545454545453	11
Caudoputamen	pericyte	down	-0.0856971314864512	0.3333333333333333	9
Caudoputamen	neuronal	down	0.017768020957211306	0.5	10
Caudoputamen	synapse	down	0.025489097066278887	0.5384615384615384	13
Caudoputamen	plasticity_IEG	down	0.24387420517891112	0.8181818181818182	11
Caudoputamen	endocytosis	down	-0.0879496087289744	0.16666666666666666	12
Caudoputamen	heat_shock	up	-0.028839361880992342	0.4444444444444444	9
Caudoputamen	UPR	up	0.050484129348508766	0.7777777777777778	9
Corpus callosum	PIG	up	-0.16296139266697152	0.1346153846153846	52
Corpus callosum	DAM	up	-0.14523284335323616	0.16666666666666666	18
Corpus callosum	ARM	up	-0.11504732581909316	0.23076923076923078	13
Corpus callosum	IRM	up	0.2850148164138473	0.875	8
Corpus callosum	MGnD	up	-0.2169129498608151	0.25	12
Corpus callosum	microglia_homeo	down	-0.11784053334893674	0.4444444444444444	9
Corpus callosum	A1_astro	up	0.0939687649919776	0.5	12
Corpus callosum	A2_astro	down	-0.09604618981694912	0.2727272727272727	11
Corpus callosum	panreactive_astro	up	-0.07128577603533959	0.38461538461538464	13
Corpus callosum	oligo_mature	down	0.12732532656144713	0.875	16
Corpus callosum	oligo_OPC	down	0.19155987047416279	0.8571428571428571	7
Corpus callosum	oligo_stress	up	-0.03703027842621509	0.2857142857142857	7
Corpus callosum	tight_junction	down	0.002117646072011925	0.5	12
Corpus callosum	endothelial	down	0.027541936026484137	0.5454545454545454	11
