region	signature	prior	median_signed	frac_concordant	n
Corpus callosum	pericyte	down	0.11403203365040371	0.7777777777777778	9
Corpus callosum	neuronal	down	-0.09166595504055497	0.2	10
Corpus callosum	synapse	down	-0.09085151444685913	0.23076923076923078	13
Corpus callosum	plasticity_IEG	down	0.07325254168198292	0.7272727272727273	11
Corpus callosum	endocytosis	down	-0.04873480786304185	0.4166666666666667	12
Corpus callosum	heat_shock	up	0.07005504222799797	0.5555555555555556	9
Corpus callosum	UPR	up	-0.027201320024041742	0.4444444444444444	9
Hypothalamus	PIG	up	-0.05201893804931679	0.34615384615384615	52
Hypothalamus	DAM	up	-0.0744399249468164	0.3888888888888889	18
Hypothalamus	ARM	up	0.013099918249045217	0.5384615384615384	13
Hypothalamus	IRM	up	-0.3044122336996824	0.0	8
Hypothalamus	MGnD	up	-0.01666150141952416	0.4166666666666667	12
Hypothalamus	microglia_homeo	down	-0.10599880533627726	0.4444444444444444	9
Hypothalamus	A1_astro	up	0.03944424733668417	0.6153846153846154	13
Hypothalamus	A2_astro	down	-0.08706394318361088	0.45454545454545453	11
Hypothalamus	panreactive_astro	up	-0.039683359159242926	0.46153846153846156	13
Hypothalamus	oligo_mature	down	0.09021373086922324	0.75	16
Hypothalamus	oligo_OPC	down	0.11181488453043453	0.7142857142857143	7
Hypothalamus	oligo_stress	up	-0.05738761083460453	0.42857142857142855	7
Hypothalamus	tight_junction	down	0.06697754458688854	0.6666666666666666	12
Hypothalamus	endothelial	down	0.11941456276649287	0.8181818181818182	11
Hypothalamus	pericyte	down	0.09178354350197981	0.6666666666666666	9
Hypothalamus	neuronal	down	-0.0777892770972457	0.4	10
Hypothalamus	synapse	down	0.03070133757872462	0.5384615384615384	13
Hypothalamus	plasticity_IEG	down	0.014208207406278817	0.5454545454545454	11
Hypothalamus	endocytosis	down	-0.08066035062450805	0.3333333333333333	12
Hypothalamus	heat_shock	up	0.01352088849419708	0.5555555555555556	9
Hypothalamus	UPR	up	0.07579594354114683	0.6666666666666666	9
Infragranular layers	PIG	up	0.11386300236606228	0.8269230769230769	52
Infragranular layers	DAM	up	0.08260633012593743	0.8333333333333334	18
Infragranular layers	ARM	up	0.09619392070295874	0.7692307692307693	13
Infragranular layers	IRM	up	0.1790818053947716	0.875	8
Infragranular layers	MGnD	up	0.08907285692197497	0.75	12
Infragranular layers	microglia_homeo	down	-0.01870469077102399	0.3333333333333333	9
Infragranular layers	A1_astro	up	0.27315132416255605	0.75	12
Infragranular layers	A2_astro	down	0.3377797237962268	0.5555555555555556	9
Infragranular layers	panreactive_astro	up	0.10690669951407594	0.7272727272727273	11
Infragranular layers	oligo_mature	down	-0.09329591066772647	0.125	16
Infragranular layers	oligo_OPC	down	-0.014027982929596838	0.2857142857142857	7
Infragranular layers	oligo_stress	up	0.38213454649696876	0.8571428571428571	7
Infragranular layers	tight_junction	down	-0.09289079313531978	0.36363636363636365	11
Infragranular layers	endothelial	down	0.010059469257223341	0.5454545454545454	11
Infragranular layers	pericyte	down	-0.11210623001773623	0.2222222222222222	9
Infragranular layers	neuronal	down	0.015811926158479928	0.6	10
Infragranular layers	synapse	down	0.009780548670492273	0.5384615384615384	13
Infragranular layers	plasticity_IEG	down	0.4388197103450535	0.9090909090909091	11
Infragranular layers	endocytosis	down	-0.11601185420628113	0.16666666666666666	12
Infragranular layers	heat_shock	up	-0.06705496880755213	0.2222222222222222	9
Infragranular layers	UPR	up	0.06059280706367254	0.6666666666666666	9
Meninges	PIG	up	0.16862391935198318	0.88	50
Meninges	DAM	up	0.22707914165359	0.8333333333333334	18
Meninges	ARM	up	0.20324355781503556	0.6923076923076923	13
Meninges	IRM	up	0.396404823522964	0.7142857142857143	7
Meninges	MGnD	up	0.27395816148627183	0.9166666666666666	12
Meninges	microglia_homeo	down	0.08461584828404689	0.5555555555555556	9
Meninges	A1_astro	up	0.4101084291122341	1.0	12
Meninges	A2_astro	down	0.042072829165523906	0.5714285714285714	7
Meninges	panreactive_astro	up	0.20279088723490624	0.8	10
Meninges	oligo_mature	down	-0.011028257849992507	0.375	16
Meninges	oligo_OPC	down	0.00446607551835454	0.5714285714285714	7
Meninges	oligo_stress	up	0.288913344184353	0.7142857142857143	7
Meninges	tight_junction	down	0.005575086962528175	0.5454545454545454	11
Meninges	endothelial	down	-0.07756302080316502	0.45454545454545453	11
Meninges	pericyte	down	-0.046652179754106626	0.3333333333333333	9
Meninges	neuronal	down	0.14269105012191208	0.8	10
Meninges	synapse	down	0.0758491835774926	0.7692307692307693	13
Meninges	plasticity_IEG	down	0.1806122687828311	0.8181818181818182	11
Meninges	endocytosis	down	-0.08549779568271143	0.4166666666666667	12
Meninges	heat_shock	up	0.028713644011673978	0.5555555555555556	9
Meninges	UPR	up	0.10777846288360848	0.8888888888888888	9
Olfactory areas	PIG	up	0.11994507753844119	0.7884615384615384	52
Olfactory areas	DAM	up	0.09348530221447393	0.7222222222222222	18
Olfactory areas	ARM	up	0.10129775971865884	0.7692307692307693	13
Olfactory areas	IRM	up	0.14704001297224212	0.875	8
Olfactory areas	MGnD	up	0.08059661215331371	0.6666666666666666	12
Olfactory areas	microglia_homeo	down	0.02137842480668528	0.5555555555555556	9
Olfactory areas	A1_astro	up	0.2770959328417565	0.9166666666666666	12
Olfactory areas	A2_astro	down	0.23823166006726737	0.8571428571428571	7
Olfactory areas	panreactive_astro	up	0.20209160979916563	0.8181818181818182	11
Olfactory areas	oligo_mature	down	0.04712378048404631	0.625	16
Olfactory areas	oligo_OPC	down	0.020731683210960306	0.5714285714285714	7
Olfactory areas	oligo_stress	up	0.4019011593088768	0.8571428571428571	7
Olfactory areas	tight_junction	down	-0.10235615425279176	0.4	10
Olfactory areas	endothelial	down	-0.06998507556370681	0.36363636363636365	11
Olfactory areas	pericyte	down	-0.13540380615869996	0.3333333333333333	9
Olfactory areas	neuronal	down	0.06177270168461391	0.6	10
Olfactory areas	synapse	down	0.05918559655381017	0.8461538461538461	13
Olfactory areas	plasticity_IEG	down	0.021104690187413233	0.5454545454545454	11
Olfactory areas	endocytosis	down	-0.05442988050360098	0.25	12
Olfactory areas	heat_shock	up	-0.10984503204020424	0.1111111111111111	9
Olfactory areas	UPR	up	0.06027660672002799	0.8888888888888888	9
Supragranualar layers	PIG	up	0.10984193321055558	0.8269230769230769	52
Supragranualar layers	DAM	up	0.050472933645883344	0.6666666666666666	18
Supragranualar layers	ARM	up	0.08292296809121158	0.7692307692307693	13
Supragranualar layers	IRM	up	0.24089798669957085	0.875	8
Supragranualar layers	MGnD	up	0.08568491098644637	0.8333333333333334	12
Supragranualar layers	microglia_homeo	down	0.005251279458629021	0.5555555555555556	9
Supragranualar layers	A1_astro	up	0.35324316065102046	0.9230769230769231	13
Supragranualar layers	A2_astro	down	-0.024513835530991845	0.2727272727272727	11
Supragranualar layers	panreactive_astro	up	0.22798776400937992	0.8461538461538461	13
Supragranualar layers	oligo_mature	down	-0.12736418947702344	0.125	16
Supragranualar layers	oligo_OPC	down	-0.048493870516088666	0.2857142857142857	7
Supragranualar layers	oligo_stress	up	0.431485186441952	1.0	7
Supragranualar layers	tight_junction	down	-0.10053307252095789	0.25	12
Supragranualar layers	endothelial	down	0.018095609316775896	0.5454545454545454	11
Supragranualar layers	pericyte	down	-0.09527753101088754	0.3333333333333333	9
Supragranualar layers	neuronal	down	0.025125531341630314	0.6	10
Supragranualar layers	synapse	down	0.034523142223900294	0.6153846153846154	13
Supragranualar layers	plasticity_IEG	down	0.33456854558890203	1.0	11
Supragranualar layers	endocytosis	down	-0.04571711238436693	0.16666666666666666	12
Supragranualar layers	heat_shock	up	-0.07266562911652752	0.0	9
Supragranualar layers	UPR	up	0.0640516723280733	0.7777777777777778	9
