region	mean_pbs	mean_bri	mwu_p
Infragranular layers	0.0662158590149168	0.1053453649051536	0.023809523809523808
Supragranualar layers	0.05915529947048113	0.170051873948447	0.047619047619047616
Caudoputamen	0.10237035827140095	0.18192029600521	0.047619047619047616
Hypothalamus	0.14017622494382384	0.16299152325285923	0.19047619047619047
Olfactory areas	0.13864914823117422	0.17675175482216846	0.2738095238095238
Corpus callosum	0.1085479228822448	0.14562011107175907	0.3571428571428571
Ventricular area	0.08472222222222224	0.08333333333333333	0.5562314580091424
Hippocampal formation	0.27485714285714286	0.1239067055393586	0.5796347764600572
Meninges	0.10696699898098928	0.07990418323073582	0.8690476190476191
Thalamus	0.08881074537383986	0.26814516129032256	
