	lfc	se	pvalue	padj
Col19a1	0.3190885492318172	0.13709759387867154	0.06742452868056624	0.3357213504874821
Lmbrd1	0.09200045379888522	0.06907694258685784	0.24039008173077328	0.5681731725847688
Adgrb3	0.05232010950579813	0.06689890887573757	0.46956707752053706	0.7460675865317911
Gm597	-0.027135417474384305	0.3456848639631328	0.9404769406542148	0.9796123753676292
Phf3	0.04479362612376914	0.07713425538929589	0.586616955020927	0.813264414915376
Ptp4a1	0.04315144867729792	0.12529190195475867	0.7445527455082307	0.8944263815127216
Ptp4a1-1	-0.35959738402749686	0.156748465542829	0.07028800079508335	0.34244542532055267
Lgsn	-0.16110336485187907	0.05666696884600468	0.03611967417788236	0.2612592661320379
Khdrbs2	0.005254133002433825	0.060115686564645145	0.9337456629402355	0.9774158900786204
Prim2	0.051269642336847276	0.051670808561467614	0.36664185823743317	0.6759412496568559
Rab23	0.03770683059876667	0.146483114844852	0.8071171133343064	0.9264262872589152
Bag2	-0.1308464538273615	0.205533876127615	0.5523736110992312	0.7943997488283651
Zfp451	-0.0449715836088167	0.05681992429487088	0.4645396277105095	0.743211736573433
Bend6	0.0029211672895295138	0.15325502171498986	0.9855298173699913	0.9949186815843253
Dst	0.06469795993872118	0.07645668856686316	0.43605436670729664	0.7222689840966144
Ccdc115	-0.1051805461301436	0.09546181873233908	0.3207352448559588	0.6397607005817363
Imp4	0.17970709480444658	0.06097104741024931	0.03198083401943953	0.24808783067825194
Ptpn18	0.6332975973099022	0.1122488718984005	0.0024270533560679097	0.0915255158041695
Cfc1	-0.1293498145557882	0.030318350372315596	0.0079661674999604	0.14144867340692305
Amer3	-0.25006463458335926	0.03047033318564641	0.000437229438924981	0.04328047817286743
Arhgef4	0.08776365096426186	0.04130442938632369	0.08697504771076306	0.3742461606888433
Arhgef4-1	0.12762319846476533	0.05674552444353996	0.07436600119392366	0.34914636913852654
Fam168b	0.11971515015502199	0.04103924565400677	0.033125566497523275	0.2524659934396299
Plekhb2	-0.272696268928887	0.17457049540823144	0.17902295380027514	0.5035682873161806
Hs6st1	-0.02517896447811019	0.053506509829736364	0.6577553761225952	0.8510659131909395
Uggt1	0.11701908448642762	0.06680592500721973	0.1402279968799901	0.45026827895599314
Neurl3	0.2440633619645537	0.05285724165875213	0.0057488926751928515	0.125541538723399
Arid5a	0.0193472870775655	0.2888710114400301	0.9491968563772507	0.9826021186531612
Kansl3	0.1337376721744299	0.04363125925302034	0.027936667881993404	0.23700328479892147
Lman2l	-0.15977285430506516	0.034802955683026306	0.005889415143482084	0.12726525717242135
Cnnm4	-0.3045631554137955	0.2765987386055637	0.32101476396495293	0.6399333673907807
Cnnm3	0.04173632312052522	0.03679012249495639	0.30804990237600016	0.6276806281495944
Ankrd23	-0.008604322595067382	0.06224412065810357	0.895449323621873	0.9607134455343447
Ankrd39	0.06523381907127268	0.19363762388816752	0.749883160459485	0.8965947147082126
Sema4c	0.22508329355232393	0.07562847635918371	0.030936134542543077	0.24529272530929708
Fam178b	0.11167039579973422	0.05839582271897854	0.11404914613332276	0.4152745450947045
Cox5b	0.10889339702042733	0.18235225656623236	0.5764124554231653	0.8069782351258511
Actr1b	0.12216589879970474	0.02804587397890806	0.007318220438342807	0.13728274006608984
4933424G06Rik	-0.17022156450839437	0.06473157140251003	0.04655273229487799	0.2904886417726683
Zap70	-0.8110141540310649	0.6227703842088579	0.24958262629340364	0.5757528046818947
Tmem131	-0.10833759545607347	0.12285170442338951	0.418224626428448	0.7118689558781583
Vwa3b	-0.7380951072538602	0.3762546339893302	0.10705611419593929	0.4053218557947946
Cnga3	-0.2038762003282839	0.41633255021244664	0.645076718089793	0.8441196253259217
Inpp4a	-0.045897310648175704	0.08560458468358498	0.6148356933034282	0.8284170548536126
Coa5	0.34178992132751507	0.06625398942344682	0.0035883924526481444	0.10669013603368072
Unc50	0.023121386809966005	0.12351900700564768	0.8588713201328093	0.9463441840375572
Mgat4a	0.03817498417720344	0.0674475503589575	0.5958540279438469	0.8176917054289412
2010300C02Rik	-0.13287684619143114	0.16642970745574565	0.4608630180984556	0.7406695073095051
Tsga10	0.05722929524391063	0.0950696329393913	0.5734455374015376	0.8052952133528407
Lipt1	-0.01995444514851652	0.08447678629409527	0.8226393582577858	0.9319467024853179
Mitd1	0.1666677586363039	0.05141169285102652	0.022902757532034277	0.2189736753973734
Lyg2	0.07659376819003019	0.1362826109336984	0.5983611776900961	0.8191725572169755
Rev1	0.17418910980119495	0.08465288839732059	0.09471161950422267	0.38482280249635653
Aff3	-0.017279161059656545	0.16620356624133867	0.9212394440499693	0.9723191345146073
Lonrf2	-0.2984072268519222	0.09390534551310858	0.024600318703944878	0.2256371163339322
Chst10	-0.13469259667314049	0.09542262864648865	0.2171789114906468	0.5457036914199548
Pdcl3	0.027956798470605282	0.07541759738138788	0.7260522913806875	0.8873534690357251
Npas2	0.21453992733769134	0.2667312947187221	0.4577279272908235	0.7386470486181769
Tbc1d8	0.5111957417116075	0.4985594924378359	0.3522223811463086	0.6646790162933365
Cnot11	-0.04124436648131535	0.08285608261656005	0.6397536469748679	0.8411139821291148
Rnf149	-0.0031162313506545303	0.06641069551420226	0.9643906269399818	0.9880595880969841
Creg2	-0.059181765797865715	0.10131202939954335	0.5844780212667828	0.8118806784997593
Rfx8	-0.023461965154159214	0.09430065939762419	0.813412316526447	0.9286270030731142
Gm3646	-0.06887952473392528	0.09171869121944266	0.4864803575856873	0.7576349720383077
Map4k4	0.16326447926292253	0.05349523550841001	0.028361327789992417	0.23847462344677753
Il1r2	-0.1924885940455593	0.11955310746624162	0.16829806632327837	0.4891236523189372
Il1r1	0.1140996323196708	0.15341494079664772	0.4904890434770868	0.7599261734676052
Il1rl2	0.23416973821390674	0.06600461711347591	0.01642622758984681	0.19101561636698247
Il1rl1	0.31541186594004006	0.13437056771505046	0.065778141183871	0.33346479749746705
Il18r1	0.012442286339852789	0.03877230224503062	0.7612603782015844	0.9031069361563691
Il18rap	0.16008790825472607	0.10318665075744271	0.18149540399571082	0.5057979198483146
Slc9a4	-0.4234254344897488	0.1619920460895679	0.047447768909746016	0.29195832824778634
Slc9a2	-0.36239696421718204	0.16551498060341904	0.08014600024466273	0.36114180761305525
Mfsd9	0.12700969216809055	0.12120786455711141	0.3426872407497254	0.6572648436313756
Tmem182	0.18091750375388815	0.19269049431937663	0.39088658352798655	0.6927257839087849
Pou3f3	0.09335419409748091	0.19676606663000706	0.6551814738785215	0.849745562632029
Gpr45	-0.03293686684557606	0.10460468757168795	0.7655764760115207	0.9050812306647144
Tgfbrap1	0.05259120443128573	0.08371975326718464	0.5574580252583305	0.7970959207582747
AI597479	-0.07431135717445692	0.060359238658069664	0.2730138675695453	0.5976718711982547
Fhl2	0.036014853216593146	0.103463291284965	0.741946497990638	0.8929177022629032
Nck2	-0.28709562402181454	0.21333739389474968	0.23618655129107946	0.5644643457268808
Ecrg4	0.666822294457416	1.0609523424215406	0.557257714493967	0.7969768208480361
Uxs1	0.10715480841958946	0.09040347179077818	0.2891589829779368	0.6115119387639146
Tpp2	-0.03680442703988529	0.04887438802258245	0.48534941382912405	0.7570589884892668
Mettl21c	-0.05887500251715537	0.05450982301583503	0.3294282567420291	0.6460866789431425
Gm8251	0.05457584433322794	0.038240958576305425	0.21288405920856526	0.5422475166065936
Tex30	-0.05726059827467056	0.07815137051448409	0.4966365693248962	0.7628825228141409
Poglut2	-0.5478306970651401	0.2064113193735034	0.045204606316583906	0.2858750371153208
Bivm	0.008035931569240873	0.0665239540650388	0.9085555901206381	0.9667438504302439
Ercc5	0.06772169253916616	0.10457736214648561	0.5458144816817603	0.7909873944994645
Mettl21e	0.006179468423579693	0.049412050544859844	0.9053486989097381	0.9653198749791589
Gulp1	0.5350198561322235	0.22130695372960046	0.060299678616290084	0.3217604865093258
Col3a1	0.3889420611974468	0.2831535705020791	0.2279518657686947	0.5553988362438261
Col5a2	0.6295396826373876	0.09755585468190538	0.0013296559511026369	0.06955867888505599
Wdr75	-0.1245084740181559	0.10442017435706086	0.28661030973279616	0.6086207846861523
Slc40a1	0.07738279516047397	0.20638741710870442	0.723083089730621	0.8857119477606804
Dnah7c	-0.1457626331945513	0.1804627665775945	0.4559459774838986	0.737773932682587
Slc39a10	0.03914262794197665	0.26065502099991505	0.8865001896948604	0.9572626974881271
Tmeff2	0.07298808951683888	0.11907111025149182	0.5666965440034168	0.8021266179915195
Cavin2	0.39662796605902795	0.13837093336106654	0.035141818864656116	0.2582906652926052
Nabp1	-0.13323412329255468	0.05818687389766169	0.07067032280497057	0.34320819015107146
Myo1b	0.3438429601477422	0.16251546742969794	0.08797759818051838	0.37502776573546914
Stat4	-0.11382849800251471	0.17276078052358107	0.5391016742071757	0.7867416930897191
Stat1	0.049201032949435675	0.2121682988790677	0.8258106770023024	0.9326527949170114
Gls	-0.1017527653921011	0.11396524150191321	0.4128472074803699	0.7085476393296664
Nemp2	-0.005188807211364832	0.11764228930489508	0.9665266643975858	0.988496991683959
Mfsd6	-0.01533811388389772	0.05181348815153777	0.7791112862363646	0.9131461416580522
Inpp1	-0.22080183674868348	0.08338768824873917	0.0455415632196922	0.28679907869894544
Hibch	0.016422563396080392	0.13936272162963328	0.9107816132403626	0.9678042584352018
1700019D03Rik	-0.17343169100350497	0.26375803539590353	0.5398935942600568	0.7872525054979299
Mstn	-0.20565475196854727	0.09844814268143523	0.09101938003638599	0.3799546375366458
1700019A02Rik	-0.11661327984296888	0.06756434347352296	0.14494445184378868	0.4573911737907403
Pms1	-0.03792425849990311	0.05525329855495312	0.5230063084006663	0.7800972014952102
Ormdl1	-0.05678155714408728	0.06645729929708835	0.431901495449781	0.7201698226024138
Osgepl1	0.15318391864027925	0.09394028765045309	0.16389246762620371	0.48222846741534403
Asnsd1	-0.2583306017047562	0.1247501997175522	0.09314684273769891	0.3823716059838343
Stk17b	0.6058633585098776	0.1642540487640349	0.01416661544243446	0.17973009967681047
Hecw2	0.1470307243148934	0.06368364695404669	0.06901328876099048	0.33984470554302465
Ccdc150	0.07036811529820036	0.19775299510571495	0.7364824006501933	0.891219540210293
Gm34066	-0.11614051771220474	0.6123732801726799	0.857037298935056	0.9453579355324521
Pgap1	-0.14233354616816918	0.0631852729039389	0.07403164698013943	0.34843130779763043
Ankrd44	-0.07839747094629157	0.14076652945522922	0.601581357930824	0.8208618595092407
Sf3b1	0.15306438536919664	0.057319041034236226	0.044327594156562046	0.2821638271090209
Coq10b	0.09218143321038874	0.1040765055130989	0.41633270928870075	0.7108306636504522
Hspd1	-0.18126326779036894	0.1308415920443981	0.22456007256083052	0.5526049495033715
Hspe1	0.13810464720729776	0.07719082556377316	0.13361410599771303	0.44101033413773955
Mob4	-0.10559087584091476	0.09578526583587946	0.32051252788213547	0.6397479592392636
Rftn2	0.05570304883903621	0.09331897563728754	0.576566446982725	0.8069782351258511
Mars2	-0.4687517507810388	0.3296674903212124	0.214322460743751	0.543547342309114
Boll	0.006697476479112896	0.0614525996353831	0.9174523343610128	0.9709232333247308
Plcl1	-0.20955924775871626	0.11763106920954934	0.1349347306433732	0.44258056195746076
Satb2	0.1920913596856213	0.2530948328704666	0.4820962383175561	0.755283402937654
1700066M21Rik	0.008497864854908332	0.1815433315816819	0.9644775333478869	0.9880873886820724
Tyw5	-0.024527578996419663	0.11222016706500151	0.835628772644162	0.9371478190741838
Maip1	0.06882070053926714	0.07795913629796351	0.41777090446743187	0.7116007141362841
Spats2l	-0.007919075860601588	0.07546859649410123	0.9205091439459667	0.9720797661026431
Kctd18	-0.022277095020692528	0.05334654731063114	0.6935715435034362	0.8707195780606524
Sgo2a	0.15191680269692087	0.1680251712381419	0.40737598794647545	0.7051301067359663
Aox1	0.09683020049999502	0.15274109519743026	0.5539781243910822	0.7952468730626647
Aox3	0.0883600583870785	0.22581482733696462	0.7116987277382363	0.8806101986792385
Aox4	0.15453348803948108	0.3421270732010445	0.6704143570428962	0.8582529029873862
Clk1	0.4218094804387027	0.10901746753234721	0.011769889449549096	0.1671560599161723
Ppil3	-0.06017265484515466	0.06847824623859673	0.4197742269387917	0.7127256108007839
Nif3l1	-0.3682623363217514	0.06196721857263688	0.0019268339987877246	0.08105057755018136
Orc2	0.04211799040026509	0.1427324138319752	0.7797902048943758	0.9131461416580522
Fam126b	-0.23270497645353494	0.09581313157757507	0.059473115517997506	0.32004243969279084
Ndufb3	-0.1304036613150008	0.08366112157459102	0.17980471375777551	0.5040447215753412
Flacc1	0.08811703063869897	0.24487834659440563	0.733666285705912	0.8897124786637352
Cflar	0.16499207929039272	0.08662233160923731	0.11516235330795391	0.41648410906449046
Casp8	0.3142982769458622	0.1157677877132025	0.04202962207180705	0.27549046527084914
Trak2	0.11169985671984772	0.05519751556801809	0.09891012426047069	0.39154292723894657
Stradb	0.10837579747067405	0.04022529620632607	0.043080684233190766	0.27917161546800334
C2cd6	-0.0163433251631179	0.07297778063333095	0.8316598517284088	0.9353024148265479
Tmem237	0.051260015223841826	0.14777334420660546	0.7428019390683265	0.8935568952655003
Mpp4	0.056971817500497846	0.13038767414493585	0.6803795745172239	0.8649150066398207
Als2	0.045473847105305776	0.07506941081175092	0.5711190083925961	0.8044621956150313
Cdk15	0.11397777419726896	0.16141663895783742	0.511653326479883	0.772785851077108
Fzd7	0.5739285609998261	0.21648999789674223	0.045368444183166205	0.2863634023642308
Gm973	0.11659995503700671	0.21374921791866996	0.6088539659964043	0.8251323915302967
Sumo1	-0.12341823481153824	0.08940251983849161	0.22596395147426435	0.5533457729252254
Nop58	-0.006543998973569387	0.040440949440260616	0.8777863595061824	0.9547132251461743
Bmpr2	0.12047608888916272	0.046120104621683665	0.047541859561761615	0.29195832824778634
Fam117b	-0.33997494901909153	0.3271519663329845	0.3463323687501167	0.6599974267318596
Ica1l	-0.22822730336679342	0.06255256318094822	0.014770378670369132	0.1819442099850016
Wdr12	-0.19274388999626169	0.11830795786166463	0.1642056024103847	0.4828322329146335
Carf	0.026974258935264395	0.05500058171640383	0.644588445247934	0.8437478492670518
Nbeal1	0.12209666802056596	0.04497768734697974	0.04204453284164489	0.27549046527084914
Cyp20a1	0.09902742491347549	0.1303089283875656	0.4815635025427615	0.754857411391465
Abi2	-0.04051081031341841	0.14940480223402347	0.797115337044073	0.9208763844371173
Raph1	-0.06272038207328112	0.07485858900159104	0.44031437015432456	0.7248393599901553
Cd28	0.1706078244154679	0.19699356794496503	0.42605481317023325	0.716345821452108
Ctla4	0.0399969216019018	0.08556481756326484	0.6598449155756014	0.8521128270744681
Icos	-0.027273288113533717	0.059303023220943	0.664896056355212	0.8554951484500996
Pard3b	0.11465927832962208	0.12999119398906878	0.4181274422670043	0.711798253353918
Nrp2	-0.4412483870738928	0.14684502701766103	0.029931772450263777	0.24276603855741177
Ino80d	0.059362665844333584	0.08600268265945601	0.5207663095772788	0.7785121960229694
Ndufs1	-0.14356249939860533	0.05833011328147722	0.057143806115427874	0.3166767980909331
Eef1b2	0.1434372325421016	0.04280137716219188	0.020301523251679554	0.2088391293550185
Gpr1	-0.2683250130473025	0.11386763541138128	0.06503587467428253	0.33254192522133136
Zdbf2	-0.03811899868732649	0.15519798982397165	0.8157433585198564	0.9295444966426983
Adam23	0.32665363516009993	0.09512796877755007	0.01855851706703878	0.20183608265474876
Gm39653	0.1428330839882171	0.08488249300211233	0.15325399004284967	0.4683752466996391
Dytn	0.002171280417104293	0.16700584619413314	0.9901296304600218	0.9965801827286057
Mdh1b	-0.0069225691292391645	0.28307529720643754	0.9814357571244194	0.9932725909773342
Fastkd2	-0.03277856166972537	0.061348320897700544	0.6160255393718976	0.8288859146978608
4933402D24Rik	0.13467913415088412	0.12265710814706479	0.32223894257309477	0.6400859543352465
Klf7	0.1066700912588665	0.03381840842175671	0.02525925970537939	0.22825473943340582
Creb1	-0.0011616845060089531	0.0939349271888424	0.9906111659463135	0.9968458810249613
Mettl21a	0.012572429759377002	0.07204390507315817	0.86831028723932	0.950348447005742
Ccnyl1	0.21169736344359436	0.16676901977404604	0.260172284792736	0.5860346150577352
Plekhm3	0.1556186944720519	0.08585917905449558	0.12965661712552062	0.4366736630577794
Cryga	-0.16094608524766407	0.036550508236961106	0.006999665378392332	0.13454821903512051
D630023F18Rik	-0.4981835425666743	0.1907008281733743	0.04753280525136023	0.29195832824778634
Idh1	0.06860996680705789	0.026792016825668525	0.050595167276542584	0.3020041383560748
Pikfyve	0.04842721681373341	0.08493310780654799	0.5932199701511083	0.8160771839867098
Pth2r	-0.18017360823149442	0.08787818514746012	0.0956105316306873	0.386114363314576
Map2	-0.03721136746736242	0.037544158663744304	0.36712922557643934	0.6760669011784778
Unc80	-0.24251011528747668	0.08527780840497542	0.036086614748387764	0.26124016712403936
Rpe	0.5257141807099721	0.05079745504093063	0.0001449685044733449	0.02470592110772025
Kansl1l	0.31186366163464285	0.08704072213725232	0.015825235125786825	0.1876664001896571
Acadl	0.163339310022792	0.10661383388526716	0.1860756623449476	0.5119847341998708
Myl1	0.26310406240781725	0.10729541694859977	0.0577836922263554	0.3175605771921147
Lancl1	0.01278245988476101	0.09627581998911892	0.8995537529389699	0.9627601053079703
Cps1	0.23868912858474872	0.12373678716676764	0.11163226103886355	0.4122290470644133
Erbb4	-0.0060693360702810395	0.048686107489873426	0.9056475761011737	0.9653901515832153
Ikzf2	-0.0002868929520238872	0.2008388787349664	0.9989154844909345	0.999580621920075
Spag16	0.09684219739721867	0.6081077953805005	0.8797035337940188	0.9552968872879516
Vwc2l	-0.4443243287347767	0.2530509282417291	0.13946363250350866	0.4490172069290577
Bard1	-0.2882168116348557	0.14929126036627138	0.11140926472172505	0.4118306250256791
Abca12	-0.124520212007804	0.09507813201324807	0.24725545009307273	0.5740357717161731
Atic	-0.02153146828267971	0.03159550615653359	0.5258501583392238	0.781397276856009
Fn1	0.3160058085926414	0.18007204267589105	0.13964052149430076	0.4490172069290577
Mreg	-0.46731373918465735	0.5589052949563508	0.4411997335820907	0.7253578116206406
Pecr	0.008631344366992533	0.06014174521632143	0.8914868485973828	0.9590764736537378
Tmem169	-0.2642982776262466	0.05233250942858135	0.0039320634569834706	0.11049457062376876
Xrcc5	0.20756049994838843	0.07936899178512792	0.04737519980618144	0.29195832824778634
March4	-0.05120147024172805	0.2254084176386282	0.8293027194058712	0.9346334370397092
Smarcal1	0.04047714565481364	0.04692335970831833	0.4277723332988887	0.7183568104189282
Ankar	-0.11617732146178772	0.04606918045934478	0.05305789531445023	0.3075385930726426
Igfbp2	0.4353286371907794	0.3511833532262513	0.27012753403593875	0.5948419162312646
Igfbp5	-0.007657735919023523	0.09243709041335309	0.9371909190168084	0.9785686735468357
Tns1	0.23737997671611044	0.14203845645573054	0.15553863539037424	0.47169495168561304
Rufy4	-0.07055390234956944	0.08054615014551599	0.4211419666750642	0.7132667960502993
Arpc2	-0.07248274378896458	0.06686459332291077	0.32783611943178087	0.6445239935744258
Aamp	-0.0356804685221892	0.04782916194484714	0.48923439834223054	0.7594750502344226
Pnkd	-0.09132667914495585	0.04489973475685607	0.09761050902569272	0.38919271584201365
Tmbim1	0.26307690482061563	0.1195759441647473	0.07908571191989291	0.3602000819132401
Catip	0.09894482096898516	0.3144110043263883	0.7656988203579387	0.9050959742107318
Slc11a1	0.9732351052358799	0.1095093644755028	0.000300117695593544	0.0354637111430287
Ctdsp1	0.2750774489865693	0.13970762396893224	0.10606625469869888	0.4039018021569404
Vil1	-0.2159225050071215	0.18545294023660702	0.29683168476260796	0.6168560325680261
Usp37	0.08397348234399349	0.06818546862563138	0.2728787950408327	0.5975972577308967
Cnot9	0.18142193755393077	0.03795041296019619	0.0049684419754820585	0.11793066596189661
Plcd4	0.089079393275596	0.3020618967273269	0.7799193459191657	0.9131893019234094
Zfp142	0.09019328398799864	0.12062125662817988	0.48827179183720654	0.758826438570605
Bcs1l	-0.09703564759133432	0.0620788802783689	0.17879172092162016	0.5033862290242145
Rnf25	-0.11969619041236612	0.06870988421581742	0.14196903728458762	0.4533384382569768
Stk36	0.13168527603804492	0.11036015896378383	0.28630494611324614	0.6084210135233412
Ttll4	0.19998036412230746	0.07635509637589383	0.04714988057667507	0.29195832824778634
Cyp27a1	0.2686611214272485	0.26048073358286455	0.34963527258191257	0.6623121990131395
Prkag3	0.029621004541309337	0.1073842678332348	0.7937074349670497	0.9192081832310703
Wnt6	-0.06653957672344712	0.16894841488735846	0.7099304192281606	0.8796836639128043
Wnt10a	0.23904218601591865	0.16313436061269426	0.2027311912300772	0.5307622398269567
Cdk5r2	-0.08513196704150872	0.2923267325822062	0.7825758619592651	0.9143880106056411
Cryba2	0.46513885549811607	0.15285858041987907	0.028654493467649075	0.2388167306899544
Cfap65	0.20081344302433468	0.6383495693308375	0.7657823786810556	0.9051300230213449
Ihh	-0.11711578030787417	0.14023622676176808	0.4417081117949237	0.7257605403122834
Nhej1	0.08860736760475385	0.18475210854212482	0.6517543412487672	0.8476241849723366
Slc23a3	-0.30177598430136554	0.14524475622973831	0.09233063040602661	0.38083222359261004
Cnppd1	0.06580976038030162	0.08552971372692914	0.47639093757744705	0.750735804489302
Retreg2	-0.03904793484758784	0.03137914665784084	0.2685056288218623	0.5929956240475304
Zfand2b	-0.1853242851190462	0.05330943826344342	0.01772733043784095	0.19827503346951875
Abcb6	0.005673854596990324	0.04276669410236067	0.899628295123841	0.9627601053079703
Atg9a	-0.3751999659350087	0.28278942121931855	0.24194352803435004	0.5694844465004426
Ankzf1	0.08481546012671526	0.06523978949637993	0.25028249500270827	0.5764064974275831
Glb1l	0.04409847905798703	0.14707928951921279	0.7763728753111555	0.911068361025677
Stk16	-0.020381375477994013	0.06867609908179766	0.7785709539708303	0.912805421283106
Tuba4a	0.13874169784128032	0.029514865676431763	0.0053335809098379455	0.12072764647802345
