	lfc	se	pvalue	padj
Xkr4	-0.07653411411246402	0.08993872492196453	0.4336435923275484	0.7207482630973961
Rp1	-0.1725343793086444	0.15038934881577284	0.303192487826399	0.6224657955903946
Sox17	0.16426166352072258	0.06502803034655943	0.052785967016457366	0.30690676154134283
Lypla1	-0.16843147553148974	0.1314383217411279	0.25624440776344426	0.5828255785274488
Tcea1	-0.11529984801947979	0.08533109064593238	0.2345487624317165	0.5621971404114399
Rgs20	0.5756678045649828	0.19662015737092708	0.032715508853763	0.251193718932446
Atp6v1h	-0.04962928781138043	0.052485883870915614	0.38778442141693115	0.6894687710245484
Oprk1	0.014405800681204894	0.3398860771268768	0.9678329018671551	0.9886466840772258
Npbwr1	-0.40050604823082536	0.3561612255498651	0.3118649184677545	0.6315732870214132
Rb1cc1	-0.08198137772367886	0.09803587956970045	0.44114066991949735	0.7253328440858574
Alkal1	0.06431409833096198	0.052063828136881825	0.271596210753129	0.5958536111426643
St18	-0.09960769409518822	0.08283645148909513	0.28301743064754087	0.6053255461294473
Pcmtd1	-0.035879663583998855	0.09428151568712094	0.7191621886361079	0.8839280055446376
Sntg1	-0.01714373114522516	0.0604336933414782	0.7880282538190506	0.916694471388799
Rrs1	0.07706113625889266	0.11092144806481528	0.5181740216077589	0.7761849153861549
Adhfe1	0.33350274484384634	0.2867725969257894	0.2973296809424134	0.6171718929757705
Vxn	0.3161095260269686	0.17707019994590395	0.13428882322694155	0.4418647565216104
Mybl1	0.09144868771173975	0.141698289418672	0.5471266665328308	0.79131977753137
Vcpip1	-0.007262571473065194	0.04009058309169086	0.8633610560482652	0.9482602202814963
Sgk3	0.6217512091707458	0.3133326163924069	0.10400260245680057	0.40086962197627857
Mcmdc2	-0.260388481483266	0.17366482024250848	0.19405968634670928	0.5206103010382102
Tcf24	0.08478527539940728	0.09355121212974331	0.4063325917913962	0.7044596181354789
Ppp1r42	0.24687897647432022	0.27252599165540525	0.4065281784577169	0.7046573679442716
Cops5	-0.09635068590668716	0.05306273093534563	0.12910701479918854	0.4359688749854756
Cspp1	0.015116669894070789	0.05906194839814824	0.8081888408750513	0.9270170502709876
Arfgef1	-0.22787970927057977	0.15910912081620196	0.21150850446175215	0.5406769798778397
Cpa6	0.21990975485284692	0.3788598243915837	0.5867863564344391	0.8132946472891517
Prex2	0.308625136602398	0.329574081187827	0.39203808497957976	0.6935025770783769
A830018L16Rik	-0.22958221595197692	0.30944644899254853	0.49149819407158357	0.7601942969870273
Sulf1	0.3037276558516595	0.35754760934816926	0.4343948252039777	0.7212634105417036
Slco5a1	0.05878466170070551	0.34948764148150446	0.8730161977909148	0.9524703514837389
Ncoa2	0.027837840770177813	0.08657138165239148	0.7607942065827151	0.9027843678859281
Tram1	-0.020361359118675537	0.20405562013894224	0.9243936226016395	0.9736844260787056
Lactb2	0.009012810413285166	0.10397708741211942	0.9342895399357479	0.9777008536227036
Xkr9	-0.08448721682837097	0.05608643382337584	0.19232228643904087	0.5182200027911629
Eya1	0.24009676423746074	0.05370536823504444	0.006575433447534285	0.13277486690124368
Msc	-0.5390336036219887	0.09024424064942177	0.0018836867185223977	0.08067156773029471
Trpa1	-0.07431575404292495	0.07183765196833647	0.34832174165117574	0.6611673798640011
Kcnb2	-0.5277281904857514	0.11510553863736825	0.005921908059599338	0.12730177130459902
Terf1	-0.09017772503036436	0.0422776243580436	0.08607772026855355	0.3731432333682726
Sbspon	-0.5557998299141533	0.392447770217443	0.2158775215962162	0.5449702330604005
4930444P10Rik	-0.26908860192922757	0.25496992124069806	0.3395575667182861	0.6542348931812138
Rdh10	0.1387963831320551	0.0910758729199266	0.18802379617384565	0.5144358448443963
Stau2	0.04706267054945101	0.043685911058733984	0.33055673443110356	0.6467550451983161
Ube2w	-0.1013385494059218	0.06923216576474098	0.2031368598536349	0.5313572957499413
Tmem70	-0.14040127331835173	0.044280359166178986	0.024794477993448357	0.2265768467162492
Ly96	-0.009784047153020836	0.11019280665085095	0.9326953407467092	0.9767930072838197
Jph1	-0.1833090720042474	0.08825935083085937	0.09242103445990381	0.3809055399293617
Gdap1	0.11935319008968648	0.06946196672201864	0.14639145681395363	0.45920249954297293
Pi15	-0.18675745015369832	0.17419312855150684	0.3326599261115124	0.648458498038435
Crispld1	-0.06184239549287529	0.24224874239747393	0.8086717409730635	0.9272522374401924
Crisp4	0.05525908993057729	0.03831781129611949	0.2088440792622831	0.537924816809723
Defb41	-0.03078106845018541	0.05488233646363113	0.5990980362668676	0.8196383048520722
Tfap2d	-0.34538491397448134	0.34939872299831853	0.3682937529474902	0.6765081352957265
Tfap2b	0.11582995627315776	0.10080727090174658	0.30252556246728673	0.6220445778346593
Pkhd1	0.03570029588608831	0.05276885071458302	0.5287236856816102	0.7828374078155089
Il17f	-0.07553834137721986	0.058933618688291285	0.25614590358521144	0.58268170251371
Mcm3	0.28392528105405646	0.10364904943021483	0.04082628982875701	0.2727968460627252
Paqr8	0.07435665171706773	0.2738887400276754	0.7968705304692887	0.9208495304993018
Efhc1	0.3579356526293691	0.2185831518477133	0.1624467853047951	0.4807389559386981
Tram2	0.28586069462311503	0.16784083133081582	0.14926643344035193	0.4625171001359108
Tmem14a	0.2943204603922789	0.09834492027149436	0.03035162421068463	0.24356276541074248
Gsta3	0.15614447158928524	0.0731020500075073	0.08575255089945669	0.3728499260702048
Kcnq5	0.1815981752198148	0.4040122968981641	0.6718950966698278	0.8593356980109293
Rims1	0.263895931670902	0.05333055643422089	0.00429120225263329	0.11352568416648441
Ogfrl1	-0.16439316784635682	0.23695990358451263	0.5187366441231158	0.7766694571820054
B3gat2	-0.875079505002855	0.25182228347366475	0.017753984119232687	0.1983048050506997
Smap1	-0.07908613080983073	0.04665913680938985	0.15085060461560756	0.46429181621683274
Sdhaf4	0.11204504986786024	0.10666761448368654	0.34162300674721974	0.6561368565746821
Fam135a	0.33646101064968015	0.10341465072301917	0.022607602631235464	0.2175893667157434
Col9a1	0.6124057175315597	0.8600293270000796	0.5082553802483392	0.7712573147299508
