Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	positive regulation of positive chemotaxis (GO:0050927)	0.770200516989796	2.242446275985817	0.001	0.02436541053362603	0.018	7/15	9.80%	F2rl1;Scg2;Vegfc;Pgf;Ntf3;Cdh13;Kdr
prerank	neuropeptide signaling pathway (GO:0007218)	0.5713163747364894	2.2210672502292437	0.001	0.014889973103882573	0.022	23/49	13.51%	Nxph2;Hcrtr1;Gal;Oprm1;Nts;Nppa;Glra3;Glra2;Pnoc;Npy;Ntsr1;Nxph3;Nxph4;Gpr84;Sstr5;Gpr149;Adcyap1;Penk;Sstr2;Sstr1;Cpe;Sorcs3;Sstr3
prerank	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	0.5251906452316342	2.0147533402944995	0.001	0.14077792752761709	0.244	17/44	11.28%	Chrm5;Agt;Htr1d;Mc3r;Htr1a;Oprm1;Htr4;Npy;Chrm2;Npy1r;Chrm1;Sstr5;Sstr2;Htr6;Lhcgr;Htr2c;Sstr1
prerank	central nervous system neuron differentiation (GO:0021953)	0.5607310560674011	2.0056014386305816	0.001	0.11911978483106059	0.269	9/31	11.75%	Faim2;Npy;Cbln1;Tox;Mdga1;Isl1;Grid2;Spock1;Sin3a
prerank	regulation of neurotransmitter receptor activity (GO:0099601)	0.49075338454981665	1.969010321060074	0.001	0.13807065969054752	0.358	12/56	9.02%	Cacng5;Oprm1;Crhbp;Shisa6;Psca;Ptk2b;Crh;Nptx2;Mink1;Dlg3;Neto1;Nefl
prerank	negative regulation of lipid metabolic process (GO:0045833)	0.6234693308476812	1.9657295864310005	0.001	0.12024781309650626	0.366	7/20	8.22%	Tnf;Asxl3;Adra2a;Apoc1;Apoc3;Ceacam1;Cidea
prerank	chemical synaptic transmission (GO:0007268)	0.3842790306138567	1.9581967942154783	0.001	0.11467213052730346	0.397	56/258	10.76%	Slc18a2;Syt1;Chrm5;Hcrtr1;Htr1d;Htr1a;Sst;Slc1a6;Grin2d;Crhbp;Shisa6;Glra3;Glra2;Htr4;Slc5a7;Snph;Pnoc;Gabrb2;Syt5;Prkar1b;Cacna1b;Chrnb2;Sncg;Npy;Cbln1;Ntsr1;Chrm2;Chrne;Apba2;Th;Crh;Chrnb1;Gabrq;Slc17a8;Syt10;Chrm1;Nptx2;Slc17a6;Cpne6;Gad2;Mink1;Syn1;Penk;Gabra5;Pdlim4;Grm5;Cacnb1;Asic2;Htr6;Hap1;Grid2;Pcdhb10;Exoc4;Grik3;Slc18a3;Chrna6
prerank	regulation of dopamine secretion (GO:0014059)	0.6035058555086026	1.9490344150789218	0.001	0.11032116436058453	0.426	7/23	4.81%	Syt1;Gdnf;Syt15;Syt5;Chrnb2;Kcna2;Syt10
prerank	regulation of leukocyte chemotaxis (GO:0002688)	0.6988888684838854	1.939186568436519	0.001	0.1055834456457128	0.454	6/15	7.16%	Mdk;F2rl1;Slit2;Ptk2b;Il6;Prss56
prerank	negative regulation of biosynthetic process (GO:0009890)	0.6653700722712095	1.9271709838282678	0.0027472527472527475	0.10761389652351498	0.497	7/15	8.64%	Slc18a2;Gstp1;Asxl3;Ceacam1;Il6;Abcd1;Abcb7
prerank	anterograde trans-synaptic signaling (GO:0098916)	0.3882583396679639	1.923331079828995	0.001	0.1023839472928124	0.51	48/199	12.18%	Slc18a2;Syt1;Chrm5;Hcrtr1;Htr1d;Htr1a;Sst;Slc1a6;Glra3;Glra2;Htr4;Pnoc;Gabrb2;Syt5;Prkar1b;Cacna1b;Chrnb2;Sncg;Npy;Cbln1;Ntsr1;Chrm2;Chrne;Apba2;Crh;Chrnb1;Gabrq;Syt10;Chrm1;Nptx2;Cpne6;Gad2;Mink1;Syn1;Penk;Gabra5;Grm5;Cacnb1;Asic2;Htr6;Hap1;Pcdhb10;Exoc4;Slc18a3;Chrna6;Htr2c;Slc6a1;Kcnmb1
prerank	peripheral nervous system development (GO:0007422)	0.5897189964407847	1.9190454289640804	0.003105590062111801	0.09881527605303891	0.528	8/21	8.81%	Egr2;Gdnf;Sox10;Adgrg6;Ntf3;Nf1;Asic2;Artn
prerank	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	0.4753936985862714	1.8974895197833832	0.001	0.11255986661046898	0.597	12/53	7.08%	Chrm5;Htr1d;Htr1a;Oprm1;Adcy6;Htr4;Chrm2;Adra2a;Npy1r;Chrm1;Rgs1;Grm8
prerank	regulation of NMDA receptor activity (GO:2000310)	0.5129243953117391	1.8867963501527323	0.001	0.11708933395325842	0.648	7/31	12.94%	Oprm1;Crhbp;Ptk2b;Crh;Dlg3;Nefl;Gria1
prerank	positive regulation of interferon-beta production (GO:0032728)	-0.619466465661439	-1.8808594871978261	0.0027739251040221915	0.5058671520038664	0.404	12/30	12.64%	Tlr2;Ifih1;Trim56;Irf1;Ddx58;Irf7;Rnf135;Tlr4;Irf5;Oas2;Ripk2;Tlr7
prerank	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	0.5209201975071772	1.8651975048195164	0.001	0.1331975775838223	0.713	16/34	20.93%	Ndufb2;Ndufa7;Ndufa11;Ndufa6;Ndufs5;Ndufs1;Ndufb3;Ndufa10;Ndufa9;Ndufs4;Ndufb5;Ndufs3;Ndufa12;Ndufa8;Ndufa1;Ndufv2
prerank	regulation of protein kinase A signaling (GO:0010738)	0.6352137225106239	1.8532140538227342	0.009174311926605505	0.13781685333082225	0.746	5/16	6.70%	Calcr;Ramp3;Prkar1b;Tcim;Lrrk2
prerank	regulation of telomerase RNA localization to Cajal body (GO:1904872)	0.6135160113869806	1.8510521371566573	0.0030581039755351682	0.13209874534407054	0.747	10/17	21.49%	Cct5;Dkc1;Cct4;Tcp1;Cct3;Ruvbl2;Cct2;Dcp2;Shq1;Cct6a
prerank	positive regulation of oxidoreductase activity (GO:0051353)	0.6092024937589267	1.8398305453491026	0.001	0.1391234860716301	0.781	5/17	5.57%	Agt;Tnf;Edn1;Gdnf;Fxn
