region	n_BRI	n_PBS	n_signature	frac_concordant	binom_p	wilcoxon_p	median_signed_lfc	slope	slope_ci_low	slope_ci_high
Meninges	3	6	212	0.7594339622641509	8.868510399907542e-15	1.5032549055381335e-15	0.17307567306077143	-0.10449419763535626	-0.24156342609241008	-0.05309408949866741
Olfactory areas	3	6	219	0.7853881278538812	3.0535515475299148e-18	6.842966567338348e-18	0.1667186876633444	-0.09066117285872592	-0.21133465912980445	-0.041469549216861065
Infragranular layers	3	6	219	0.821917808219178	3.824029577325692e-23	9.877953951944355e-27	0.16089198434599794	-0.07007132474417366	-0.1525148621005273	-0.03562818277857897
Hypothalamus	3	6	220	0.4681818181818182	0.8440650618817797	0.561378673596416	-0.019994929691156682	-0.02671573933654888	-0.09618837206906564	0.010763425694889202
Supragranualar layers	3	6	220	0.8136363636363636	4.689260213851279e-22	4.1084412779517004e-26	0.16291459433425426	-0.010772063060921513	-0.07568160909337515	0.03352128009442731
Caudoputamen	3	6	220	0.740909090909091	2.5411744909483027e-13	1.4452568944218778e-18	0.13037857491038474	-0.004237635768240352	-0.06964352444983996	0.03967611989238004
Corpus callosum	3	6	219	0.3835616438356164	0.9997916873954427	0.9961770000599027	-0.08238930976717329	0.060821246840284705	0.004182237303383064	0.178953984622156
