region	obs_slope	null_median	p_one_sided	n_perms
Meninges	-0.1044941976353562	-0.0008167528895473019	0.11904761904761904	84
Olfactory areas	-0.0906611728587259	0.004904900394727255	0.11904761904761904	84
Infragranular layers	-0.0700713247441736	0.0018240747141251385	0.011904761904761904	84
Hypothalamus	-0.0267157393365488	-0.00019969905443871256	0.25	84
Supragranualar layers	-0.0107720630609215	-0.00021223456652618046	0.2619047619047619	84
Caudoputamen	-0.0042376357682403	-0.006978911820677997	0.5238095238095238	84
Corpus callosum	0.0608212468402847	-0.003678807403399028	0.8214285714285714	84
