Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	positive regulation of cytokinesis (GO:0032467)	0.6783064958818067	1.9312819714613092	0.005277044854881266	0.5870759179584053	0.389	9/18	14.11%	Map10;Cdc25b;Cdc14a;Rxfp3;Drd2;Spast;Gipc1;Prkce;Racgap1
prerank	response to interferon-gamma (GO:0034341)	-0.591766838755899	-1.8531384343321897	0.001	0.8602831408758255	0.488	16/42	11.23%	Ccl8;Gbp5;Cited1;Cd74;Gbp6;Tlr2;Gch1;Ifitm2;Sp100;Slc11a1;Stat1;Slc26a6;Casp1;Lgals9;Ccl4;Gbp2
prerank	regulation of T cell proliferation (GO:0042129)	-0.6151468581432687	-1.8373727442098877	0.0015527950310559005	0.5418794956321292	0.57	11/31	10.82%	Anxa1;Cd80;Tnfsf8;Gpnmb;Il4i1;Tnfrsf1b;Lgals3;Ccdc88b;Il15;Glmn;Ptprc
prerank	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	0.6024388626617102	1.8184502031107106	0.008310249307479225	0.6695801991116771	0.789	9/20	15.92%	Zdhhc23;Zdhhc15;Zdhhc9;Zdhhc24;Zdhhc2;Zdhhc14;Zdhhc6;Zdhhc22;Zdhhc21
prerank	peptidyl-L-cysteine S-palmitoylation (GO:0018230)	0.6024388626617102	1.8184502031107106	0.008310249307479225	0.6695801991116771	0.789	9/20	15.92%	Zdhhc23;Zdhhc15;Zdhhc9;Zdhhc24;Zdhhc2;Zdhhc14;Zdhhc6;Zdhhc22;Zdhhc21
prerank	positive regulation of cell division (GO:0051781)	0.5914869578852533	1.8121666409290256	0.007957559681697613	0.5430963631287686	0.823	10/23	14.11%	Map10;Tal1;Cdc25b;Cdc14a;Rxfp3;Drd2;Spast;Gipc1;Prkce;Racgap1
prerank	negative regulation of T cell proliferation (GO:0042130)	-0.6793493510982783	-1.7733721716898707	0.006493506493506494	0.8807189856016114	0.861	8/16	16.78%	Cd80;Gpnmb;Il4i1;Tnfrsf14;Lgals9;Glmn;Cebpb;Dlg5
prerank	positive regulation of interleukin-2 production (GO:0032743)	-0.647426499993841	-1.7719429337816293	0.0016806722689075631	0.6743828759509345	0.868	7/20	10.82%	Anxa1;Cd80;Cd4;Map3k7;Malt1;Glmn;Ptprc
prerank	cellular response to interferon-gamma (GO:0071346)	-0.5212157767898767	-1.7319245050091585	0.0028169014084507044	0.8929145703573224	0.968	17/61	11.23%	Ccl8;Gbp5;Gbp6;Mid1;Trim5;Tlr2;Sp100;Stat1;Slc26a6;Trim25;Irf6;Casp1;Trim68;Lgals9;B2m;Ccl4;Gbp2
prerank	response to ketone (GO:1901654)	-0.6824063484065881	-1.7156275664663618	0.0065040650406504065	0.9145040514789188	0.986	8/16	17.99%	Catsperd;Abcb4;Thbs1;Tgfb3;Tgfbr3;Catsper2;Tgfb1;Nr1h3
prerank	positive regulation of neuron differentiation (GO:0045666)	0.5104002658166684	1.6988852616892671	0.006514657980456026	1.0	0.98	17/37	20.93%	Dlx1;Kctd11;Adra2c;Dlx2;Brinp2;Neurod1;Adra2b;Vwc2;Impact;Gprc5b;Sox11;Nrcam;Mef2c;Ascl1;Heyl;Sin3a;Brinp1
prerank	blood circulation (GO:0008015)	-0.5638405019335927	-1.659741250443802	0.009523809523809525	1.0	0.999	16/32	23.89%	Dll4;Sgcz;Eln;Nos3;Pln;Stat1;F5;Ace;Serping1;Itgb1bp1;Gclc;C3ar1;Acvrl1;Gpx1;Myof;Rock1
prerank	skin development (GO:0043588)	-0.516411218174138	-1.6594009050997192	0.0029282576866764276	1.0	0.999	13/50	8.51%	Anxa1;Alox12;Pkd1;Epha2;Tgm3;Slc2a10;Alox12b;Col5a1;Itga3;Stmn1;Col3a1;Dll1;Wnt16
prerank	negative regulation of viral genome replication (GO:0045071)	-0.5707532187182044	-1.6587381179382577	0.007564296520423601	1.0	0.999	9/30	13.87%	Zc3hav1;Ifih1;Parp10;Ifitm2;Isg20;Ifit1;Eif2ak2;Rsad2;Ifitm3
prerank	regulation of transmembrane transport (GO:0034762)	0.5456594184044463	1.6490870870661665	0.02849740932642487	1.0	0.999	9/23	18.09%	Kcnj14;Bcl2;Kcnj4;Kcnj6;Pim1;Kcnj12;Kcnj16;Snca;Kcnj10
prerank	regulation of interferon-gamma-mediated signaling pathway (GO:0060334)	-0.6458434481121735	-1.6462358322427195	0.013513513513513514	1.0	1.0	9/17	21.98%	Socs3;Socs1;Nlrc5;Stat1;Pparg;Nr1h3;Pias1;Parp14;Jak2
prerank	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	0.43447529509689803	1.6457494043793852	0.0033222591362126247	1.0	0.999	20/59	17.76%	Pde6h;Camkmt;Slc39a14;Metap1;Gng7;Ramp3;Rasgrp4;Gper1;Rgs5;Edn1;Rgs6;Fntb;Ppp1r9b;Ric8b;Nmt2;Rgs4;Usp20;Rgs2;Rgs3;Plcb1
prerank	regulation of T cell activation (GO:0050863)	-0.5595531672018473	-1.644716153050954	0.01263823064770932	1.0	1.0	8/27	7.41%	Cd4;Tnfsf8;Gpnmb;Il4i1;Tnfrsf1b;Lgals3;Ccdc88b;Lck
prerank	neuron migration (GO:0001764)	0.4581884843584672	1.6408258242165177	0.00641025641025641	1.0	0.999	18/46	21.62%	Sox1;Nrp1;Nav1;Auts2;Ndnf;Nr4a2;Cdk5;Map1b;Elp3;Mark2;Spock1;Usp9x;Cck;Fgf13;Nrcam;Mef2c;Cdk5r1;Vegfa
prerank	protein ADP-ribosylation (GO:0006471)	-0.5812561016453218	-1.6389632594612358	0.012598425196850394	1.0	1.0	12/25	22.22%	Zc3hav1;Parp10;Parp2;Sirt5;Tiparp;Sirt4;Sirt3;Parp16;Parp3;Parp8;Parp14;Parp4
