signature	term	coef	se	z	pvalue	ci_low	ci_high
PIG_score	Intercept	0.06993453234742006	0.020430564077731677	3.423034825731772	0.0006192614289163794	0.029891362571228187	0.10997770212361194
PIG_score	"C(treatment, Treatment(""WT""))[T.BRICHOS]"	0.12758473189711475	0.023424520900877866	5.446631435366234	5.133267497988218e-08	0.0816735145762884	0.1734959492179411
PIG_score	"C(treatment, Treatment(""WT""))[T.PBS]"	0.1540710055262814	0.02193260682603832	7.024746613492783	2.144550766536455e-12	0.11108388606016893	0.19705812499239383
PIG_score	C(region)[T.Corpus callosum]	0.1978304055929354	0.014980206009188665	13.20612049471074	8.088706086284789e-40	0.16846974133393514	0.22719106985193568
PIG_score	C(region)[T.Hippocampal formation]	0.05065383479166809	0.012794182315966848	3.9591302938096526	7.522319231779729e-05	0.025577698240733807	0.07572997134260237
PIG_score	C(region)[T.Hypothalamus]	0.067265134371747	0.011154806085043005	6.030148248111627	1.6380934208209958e-09	0.04540211619053447	0.08912815255295953
PIG_score	C(region)[T.Infragranular layers]	-0.051150504511515246	0.013086096637500428	-3.908767138776494	9.276832829222089e-05	-0.07679878261922679	-0.025502226403803705
PIG_score	C(region)[T.Meninges]	0.23163718767408997	0.01728271275410316	13.402825758305566	5.820413747633521e-41	0.19776369312089673	0.26551068222728325
PIG_score	C(region)[T.Olfactory areas]	-0.017226779015887823	0.013662831982044684	-1.2608498032125974	0.20736296635783247	-0.04400543762751741	0.00955187959574176
PIG_score	C(region)[T.Supragranualar layers]	-0.0484228337655316	0.012434516530449476	-3.894227302441106	9.851224384517758e-05	-0.07279403833038052	-0.02405162920068268
PIG_score	C(region)[T.Thalamus]	0.004321699004719332	0.012543395459548778	0.3445398033296796	0.730440367501453	-0.020262904339839516	0.028906302349278178
PIG_score	C(region)[T.Ventricular area]	0.28963362004376336	0.048198218118462935	6.009218418238901	1.8641983617830296e-09	0.19516684841257012	0.3841003916749566
PIG_score	"C(treatment, Treatment(""WT""))[T.BRICHOS]:C(region)[T.Corpus callosum]"	0.04004215316648269	0.016774375715606252	2.3871024379899257	0.016981758748837675	0.007164980900751142	0.07291932543221424
PIG_score	"C(treatment, Treatment(""WT""))[T.PBS]:C(region)[T.Corpus callosum]"	-0.02933581479604839	0.015868130737696867	-1.8487253023670418	0.06449748818681049	-0.06043677954390725	0.0017651499518104678
PIG_score	"C(treatment, Treatment(""WT""))[T.BRICHOS]:C(region)[T.Hippocampal formation]"	0.013996518858424796	0.016626729495274512	0.8418082980421827	0.39989526638920947	-0.01859127213300308	0.04658430984985267
PIG_score	"C(treatment, Treatment(""WT""))[T.PBS]:C(region)[T.Hippocampal formation]"	-0.05721975175120684	0.016321827773751338	-3.505719613291551	0.00045537465439018097	-0.08920994634962504	-0.02522955715278865
PIG_score	"C(treatment, Treatment(""WT""))[T.BRICHOS]:C(region)[T.Hypothalamus]"	0.01971632310004692	0.012997197911772779	1.5169672135397738	0.12927496205892616	-0.0057577167069669255	0.045190362907060765
PIG_score	"C(treatment, Treatment(""WT""))[T.PBS]:C(region)[T.Hypothalamus]"	-0.01845236581119993	0.012046383159894234	-1.5317764316706275	0.12557761389573918	-0.04206284294856244	0.005158111326162583
