Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	response to interferon-gamma (GO:0034341)	-0.6972697070875578	-2.365617762150454	0.001	0.001	0.001	25/51	13.84%	Cd74;Sp100;Gbp3;Gbp5;Gbp4;Ifitm3;Ccl8;Gbp2;Gbp7;Casp1;Ifitm1;Ccl17;Gbp6;Kynu;Ciita;Bst2;Gch1;Wnt5a;Pde12;Slc26a6;Ccl5;Stat1;Trim21;Ccl3;Irf8
prerank	defense response to virus (GO:0051607)	-0.6075869391616621	-2.2453733716021396	0.001	0.001	0.001	37/84	12.89%	Cxcl10;Zbp1;Ifit1;Nlrc5;Ifitm3;Ddx58;Tlr9;Rsad2;Rtp4;Rnf135;Eif2ak2;Ifitm1;Ifih1;Oas2;Fadd;Trim56;Bst2;Ptprc;Pycard;Skp2;Cgas;Irf7;Tlr3;Ifit2;Ifi27;Samhd1;Pde12;Mavs;Stat2;Myd88;Flna;Atad3a;Stat1;Rela;Mlkl;Irf3;Rnase6
prerank	innate immune response (GO:0045087)	-0.5356561079712188	-2.186024980665916	0.001	0.001	0.001	63/171	16.52%	Cd74;Cxcl10;Sp100;Dhx58;Ifit1;Nlrc5;Ifitm3;Ddx58;Tlr9;Clec5a;Cybb;Ang;Wfdc2;Rnf135;Pparg;Ifitm1;Ifih1;S100b;Trim25;Kynu;Mfap4;Ciita;Nod2;Trim14;Cd300lb;Trim56;Bst2;Masp2;Colec11;Gch1;Skp2;Irf7;Tlr3;Ifi27;B2m;Irf5;Mavs;Cr2;Chuk;Rarres2;Tifa;Syk;Myd88;Ager;Trim39;Alpk1;Btk;Masp1;Atad3a;Rela;Cd300e;Trim21;Rnase6;Cyba;Ncf1;Ppp1r14b;Lyn;Fcer1g;Trim5;Lck;Trem2;Slpi;Serinc5
prerank	defense response to symbiont (GO:0140546)	-0.5979682682422384	-2.170500658401114	0.001	0.001	0.001	34/76	12.89%	Zbp1;Ifit1;Nlrc5;Ifitm3;Ddx58;Tlr9;Rsad2;Rtp4;Eif2ak2;Ifitm1;Ifih1;Oas2;Fadd;Trim56;Bst2;Ptprc;Pycard;Skp2;Cgas;Irf7;Tlr3;Ifit2;Ifi27;Samhd1;Pde12;Mavs;Stat2;Myd88;Flna;Stat1;Rela;Mlkl;Irf3;Rnase6
prerank	cellular response to interferon-gamma (GO:0071346)	-0.5908348670898307	-2.1313018322246884	0.001	0.001	0.003	32/70	15.75%	Sp100;Gbp3;Gbp5;Gbp4;Ccl8;Gbp2;Gbp7;Casp1;Ccl17;Gbp6;Oas2;Trim25;Irf9;Vcam1;Ciita;Mid1;Irf4;Irf7;B2m;Wnt5a;Pde12;Irf5;Slc26a6;Ccl5;Stat1;Irf3;Trim21;Ccl3;Ptafr;Irf8;Trim5;Icam1
prerank	regulation of interferon-alpha production (GO:0032647)	-0.7153538533909823	-2.0375145069532397	0.001	0.0064545990323322325	0.037	11/22	12.39%	Nlrc3;Ddx58;Tlr9;Ifih1;Irf7;Tlr3;Irf5;Mavs;Chuk;Stat1;Irf3
prerank	positive regulation of interferon-alpha production (GO:0032727)	-0.7295346965797023	-2.0247616979227154	0.001	0.0068819069822078855	0.045	10/19	12.39%	Ddx58;Tlr9;Ifih1;Irf7;Tlr3;Irf5;Mavs;Chuk;Stat1;Irf3
prerank	axon extension (GO:0048675)	0.6615148367747421	2.015299909435231	0.001	0.2806453720033967	0.205	14/22	22.77%	Map1b;Sema5b;Auts2;Nrp1;Sema5a;Ppp3cb;Usp9x;Nrp2;Sema3a;Sema3f;Ulk2;Hsp90aa1;Nlgn3;Slit1
prerank	regulation of type I interferon-mediated signaling pathway (GO:0060338)	-0.6863664030080799	-1.9908542289409619	0.001	0.01015418628257144	0.077	9/24	9.40%	Zbp1;Nlrc5;Fadd;Samhd1;Wnt5a;Mavs;Ptpn6;Ythdf2;Stat2
prerank	negative regulation of viral genome replication (GO:0045071)	-0.6303947172658749	-1.9493173859631547	0.001	0.019311320682099686	0.154	13/33	11.11%	Ifit1;Ifitm3;Rsad2;Eif2ak2;Ifitm1;Ifih1;Oas2;Bst2;Parp10;Mavs;Tasor;Ccl5;Zc3hav1
prerank	positive regulation of nitric oxide biosynthetic process (GO:0045429)	0.6570516165816226	1.9424356532302824	0.002793296089385475	0.3383274247471778	0.405	8/20	9.22%	Ptgs2;Edn1;Ddah1;Klf2;Klf4;Il1b;Ass1;Tlr6
prerank	positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	-0.6193859461298654	-1.9350930019629977	0.001	0.022764268782322947	0.199	28/35	27.26%	Parp14;Il12a;Ctf1;Osm;Crlf1;Ghr;Stap2;Tnfrsf1a;Lif;Ccl5;Il15;Il18;Parp9;Hcls1;Il6st;Lyn;Stat3;Igf1;Tnf;Flt3;Cntf;Erbb4;Jak2;Hes5;Il6;Clcf1;Pibf1;Fgfr3
prerank	neuropeptide signaling pathway (GO:0007218)	0.5195033072788867	1.9249976524479986	0.001	0.27879658826160886	0.48	20/48	16.78%	Grp;Oprk1;Sstr2;Glra2;Gpr149;Galr3;Oprm1;Glra1;Npbwr1;Adcyap1;Nxph3;Glra3;Cpe;Sorcs2;Mchr1;Sstr4;Sorcs3;Nxph2;Galr1;Gpr84
prerank	negative regulation of innate immune response (GO:0045824)	-0.6446331006942274	-1.9201317376583946	0.001	0.027993782055968617	0.261	12/28	14.39%	Dhx58;Nlrc3;Nlrc5;A2m;Nmi;Samhd1;Serping1;Ythdf2;Stat2;Slamf8;Trim21;Trafd1
prerank	regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	-0.5845450386595157	-1.9113345743527412	0.001	0.030462558847714316	0.303	30/43	27.26%	Parp14;Il12a;Ctf1;Osm;Crlf1;Ghr;Stap2;Tnfrsf1a;Lif;Ccl5;Il15;Il18;Parp9;Hcls1;Il6st;Socs1;Lyn;Stat3;Igf1;Tnf;Flt3;Cntf;Erbb4;Jak2;Hes5;Il6;Clcf1;Pibf1;Ppp2ca;Fgfr3
prerank	positive regulation of phagocytosis (GO:0050766)	-0.5914387989002368	-1.9109158328161817	0.001	0.028191944741593686	0.303	22/40	18.27%	C4b;Fcgr2b;Il2rg;Nckap1l;Ptprc;Mertk;Pycard;Il15ra;Il15;Pla2g5;Appl2;Cyba;Tulp1;Abca7;Fpr2;Gata2;Fcer1g;Trem2;Myo18a;Dock2;Tnf;Rab31
prerank	type I interferon signaling pathway (GO:0060337)	-0.599742064466533	-1.9053693867340438	0.001	0.027203773482609994	0.335	22/38	13.84%	Sp100;Ifit1;Ifitm3;Rsad2;Gbp2;Ifitm1;Psmb8;Oas2;Irf9;Irf4;Bst2;Irf7;Xaf1;Ifit2;Ifi27;Samhd1;Irf5;Stat2;Myd88;Stat1;Irf3;Irf8
prerank	cellular response to type I interferon (GO:0071357)	-0.599742064466533	-1.9053693867340438	0.001	0.027203773482609994	0.335	22/38	13.84%	Sp100;Ifit1;Ifitm3;Rsad2;Gbp2;Ifitm1;Psmb8;Oas2;Irf9;Irf4;Bst2;Irf7;Xaf1;Ifit2;Ifi27;Samhd1;Irf5;Stat2;Myd88;Stat1;Irf3;Irf8
